run_id,stage,status,seed,code_commit,config_sha256,inner_ratio,outer_ratio,topology_weight,group_weights,value_heads,source_ref,U,S,H,ZS,decision,artifact_uri
RUN-001,screen,completed,7,4cf8baafdf9022c1e3b900a528d849fd831bc945,d8855aaccf525804dbf8a9683759c13f533f748420dc6ed50cc4329282cc5e3e,0.20,0.65,0.0,"1/3|1/3|1/3",1,,72.654611,73.993415,73.317902,81.534684,reject_below_reference,warehouse://runs/v5/tune/V5-TUNE-006-closeout/RUN-001
RUN-002,screen,completed,7,4cf8baafdf9022c1e3b900a528d849fd831bc945,d8855aaccf525804dbf8a9683759c13f533f748420dc6ed50cc4329282cc5e3e,0.20,0.65,0.1,"1/3|1/3|1/3",1,,70.610482,77.444631,73.869826,81.534684,best_nonreference_but_below_challenger_gate,warehouse://runs/v5/tune/V5-TUNE-006-closeout/RUN-002
RUN-003,screen,completed,7,4cf8baafdf9022c1e3b900a528d849fd831bc945,d8855aaccf525804dbf8a9683759c13f533f748420dc6ed50cc4329282cc5e3e,0.35,0.65,0.0,"1/3|1/3|1/3",1,,75.147092,70.507795,72.753560,81.534684,reject_below_reference,warehouse://runs/v5/tune/V5-TUNE-006-closeout/RUN-003
RUN-004,screen,reused_reference,7,4d81ab2600cd37e38a503fc80abbd80049e0f7b7,d67f893cbba168bec8c40d8eca7de99608fc8c9806402e7373d1908b1e448ca0,0.35,0.65,0.1,"1/3|1/3|1/3",1,V5-ABLATION-014/RUN-003,72.655779,75.443041,74.023182,81.534684,current_reference_selected_for_multiseed,warehouse://runs/v5/ablation/V5-ABLATION-014-components-4d81ab2/RUN-003
RUN-005,screen,completed,7,4cf8baafdf9022c1e3b900a528d849fd831bc945,d8855aaccf525804dbf8a9683759c13f533f748420dc6ed50cc4329282cc5e3e,0.50,0.65,0.0,"1/3|1/3|1/3",1,,76.151091,67.208171,71.400696,81.534684,reject_below_reference,warehouse://runs/v5/tune/V5-TUNE-006-closeout/RUN-005
RUN-006,screen,completed,7,4cf8baafdf9022c1e3b900a528d849fd831bc945,d8855aaccf525804dbf8a9683759c13f533f748420dc6ed50cc4329282cc5e3e,0.50,0.65,0.1,"1/3|1/3|1/3",1,,73.767793,73.244321,73.505125,81.534684,reject_below_reference,warehouse://runs/v5/tune/V5-TUNE-006-closeout/RUN-006
RUN-007,screen,completed,7,4cf8baafdf9022c1e3b900a528d849fd831bc945,d8855aaccf525804dbf8a9683759c13f533f748420dc6ed50cc4329282cc5e3e,0.65,0.65,0.0,"1/3|1/3|1/3",1,,77.056205,64.810443,70.404804,81.534684,reject_below_reference,warehouse://runs/v5/tune/V5-TUNE-006-closeout/RUN-007
RUN-008,screen,completed,7,4cf8baafdf9022c1e3b900a528d849fd831bc945,d8855aaccf525804dbf8a9683759c13f533f748420dc6ed50cc4329282cc5e3e,0.65,0.65,0.1,"1/3|1/3|1/3",1,,74.641401,70.601726,72.565385,81.534684,reject_below_reference,warehouse://runs/v5/tune/V5-TUNE-006-closeout/RUN-008
RUN-009,multiseed,completed,5,4c5c0910b7b498ed6e4021bc76a9a7236a8ce15e,981648d6d50deccf2bff8556c33ff2c5b68da74fa404d1f21ffc53bee2c4c9e6,0.35,0.65,0.1,"1/3|1/3|1/3",1,RUN-004,73.333913,74.088860,73.709453,81.534684,freeze_fixed_equal_h1,warehouse://runs/v5/tune/V5-TUNE-006-closeout/RUN-009
RUN-010,multiseed,completed,6,4c5c0910b7b498ed6e4021bc76a9a7236a8ce15e,981648d6d50deccf2bff8556c33ff2c5b68da74fa404d1f21ffc53bee2c4c9e6,0.35,0.65,0.1,"1/3|1/3|1/3",1,RUN-004,73.258799,74.515074,73.881597,81.534684,freeze_fixed_equal_h1,warehouse://runs/v5/tune/V5-TUNE-006-closeout/RUN-010
RUN-011,multiseed,completed,8,4c5c0910b7b498ed6e4021bc76a9a7236a8ce15e,981648d6d50deccf2bff8556c33ff2c5b68da74fa404d1f21ffc53bee2c4c9e6,0.35,0.65,0.1,"1/3|1/3|1/3",1,RUN-004,73.360914,74.240613,73.798142,81.534684,freeze_fixed_equal_h1,warehouse://runs/v5/tune/V5-TUNE-006-closeout/RUN-011
